MATRICULA,NOME,EST_CIVIL,GRAU_INSTRUCAO,NASC_DT,SEXO,LOCALIZACAO,FUNCAO_LOCALIZACAO,LOCALIZACAO_DT,POSSE_BANCO_DT
665496,Agatha da Costa,2,8,4111966,2,8008,12392,2024-05-21,2008-10-01
724351,Alexia Dias,8,8,20021981,2,8008,12331,2017-02-21,2002-12-16
850407,Allana Mendonça,1,8,4101983,2,8008,12331,2023-10-30,2012-06-11
872028,Amanda Sousa,2,8,30051979,2,8008,12331,2022-05-23,2015-08-03
971323,Ana Clara Montenegro,2,8,9121982,2,8008,12331,2023-07-06,2016-01-25
1131225,Ana Liz Cavalcante,8,8,14051967,2,8008,12051,2021-09-13,2011-03-28
1190463,Ana Ramos,2,8,6011978,2,8008,12381,2017-07-03,2009-12-01
1270764,André da Luz,1,8,12021982,1,8008,12331,2022-05-16,2000-06-26
1281078,André Machado,2,8,13071980,1,8008,12331,2012-06-05,2015-05-04
1454420,Apollo Nascimento,1,8,18031980,1,8008,12392,2022-04-11,2003-06-30
1457282,Arthur da Luz,1,8,13121989,1,8008,12331,2024-02-26,2009-07-20
1501038,Arthur Miguel Pires,8,8,21011978,1,8008,12381,2024-01-15,2002-09-30
1624932,Ayla Araújo,3,8,9021984,2,8008,12051,2023-10-04,2011-03-14
1683128,Bárbara Cardoso,2,8,15081980,2,8008,12381,2005-06-13,2010-11-12
1869936,Bento Rocha,3,8,17031989,1,8008,12010,2023-07-31,2009-05-04
1939059,Bianca Sales,1,8,21051984,2,8008,12331,2019-08-29,2008-01-07
2019548,Brenda Rodrigues,1,8,2041986,2,8008,12051,2010-08-23,2007-11-05
2022361,Breno Almeida,1,8,9011979,1,8008,12331,2021-09-27,2009-11-09
2023742,Breno da Conceição,1,8,7091972,1,8008,12051,2024-02-15,1984-03-29
2178915,Caio Viana,1,8,7091973,1,8008,12331,2019-01-08,2000-03-13
2282837,Camila Novaes,2,8,8071993,2,8008,12331,2021-02-12,2001-11-19
2287219,Camila Pastor,2,8,16011980,2,8008,12051,2020-11-18,2007-08-06
2389617,Caroline Gomes,1,6,9071979,2,8008,12381,2023-12-26,1998-08-10
2540095,Clara Sá,2,8,30051991,2,8008,12331,2019-08-29,2000-03-20
2727581,Dante da Conceição,1,8,25011959,1,8008,12051,2024-05-07,2015-09-14
2751525,Davi Carvalho,1,8,9041985,1,8008,12331,2013-03-21,2012-09-24
2895570,Diego Ribeiro,1,8,23041979,1,8008,12392,2021-06-21,2010-07-26
2896923,Diogo Abreu,2,8,14061982,1,8008,12331,2021-03-15,2000-04-10
3010910,Benjamin da Mota,3,8,20101986,1,8008,12392,2021-05-07,2000-03-20
3357052,Ryan Vieira,2,8,21091969,1,8008,12331,2019-08-30,2003-02-10
3630498,Mirella Duarte,2,8,11081980,2,8008,12392,2023-11-06,2000-07-24
3683474,Eduarda Siqueira,1,8,2111970,2,8008,12331,2019-01-04,2000-08-07
3798741,Emanuella Leão,2,8,5101979,2,8008,12331,2022-01-27,2010-08-30
3817298,Emanuella Vargas,2,8,9011981,2,8008,12331,2023-10-05,2010-07-05
3866513,Emilly Montenegro,2,8,24021987,2,8008,12392,2020-01-03,2009-10-19
3890146,Enzo Barros,1,8,21121992,1,8008,12010,2013-03-12,2010-08-09
4239076,Gabriel Ramos,2,8,24091968,1,8008,12392,2023-12-11,2010-07-26
4337137,Gael Henrique Nogueira,3,8,30061983,1,8008,12381,2023-08-01,2001-10-01
4380335,Giovanna Vasconcelos,3,8,13071986,2,8008,12331,2022-05-02,2011-08-08
4444604,Hadassa Mendonça,2,8,6021989,2,8008,12051,2023-08-14,2008-10-01
4551708,Heloisa Fernandes,2,8,6111989,2,8008,12331,2013-02-18,2004-04-12
4600357,Henrique Costela,3,8,20071974,1,8008,12051,2011-09-26,2008-03-03
4677168,Ian Ferreira,2,7,11081957,1,8008,12331,2021-11-29,2014-09-08
4678410,Ian Melo,8,8,22121970,1,8008,12381,2021-03-29,2009-12-01
4843132,Isabelly da Conceição,3,8,19091980,2,8008,12381,2021-09-20,2005-01-17
4861603,Isabelly Pinto,1,8,15051979,2,8008,12331,2019-06-06,2000-08-21
4929428,Isis Barros,3,8,11121966,2,8008,12331,2021-09-09,1993-03-16
4945388,Ísis Pacheco,1,8,18061980,2,8008,12381,2018-10-08,2015-09-14
5002863,João Felipe Aragão,8,8,4101983,1,8008,12331,2017-10-30,2007-08-27
5082769,João Guilherme Cunha,1,8,31101977,1,8008,12381,2023-09-20,2016-07-04
5124573,João Melo,8,8,8061967,1,8008,12083,2024-02-07,2008-06-30
5137100,João Miguel Dias,2,8,17031990,1,8008,12381,2023-07-17,2000-05-08
5255527,José Cirino,1,8,14081979,1,8008,12331,2017-11-16,2002-03-18
5364206,Juan Nunes,2,8,5031978,1,8008,12331,2023-07-31,2014-12-12
5374220,Júlia Câmara,1,8,6101984,2,8008,12331,2021-10-05,2004-11-08
5454842,Juliana Nunes,2,8,27091983,2,8008,12381,2013-04-15,2009-07-20
5565267,Lara da Rocha,1,8,3101978,2,8008,12392,2010-06-10,2023-10-25
5656939,Lavínia Vieira,2,8,23031972,2,8008,12331,2019-02-01,2009-12-01
5672616,Leandro Moraes,1,8,31011976,1,8008,12392,2022-12-12,2002-09-30
5689922,Léo Freitas,2,8,15061978,1,8008,12392,2023-08-14,2004-09-13
5702059,Leonardo Alves,1,8,14071984,1,8008,12330,2024-01-08,2000-08-28
5709747,Leonardo da Costa,2,8,22031985,1,8008,12381,2023-12-04,2001-08-13
5748630,Letícia Moreira,1,8,30101987,2,8008,12381,2017-02-13,2002-02-25
5844056,Lívia Fogaça,1,8,5061981,2,8008,12331,2018-08-01,2016-08-22
5885974,Lorena Lima,4,8,9031987,2,8008,12392,2020-05-21,2003-01-20
6093009,Luigi Cassiano,2,8,12071981,1,8008,12381,2011-04-18,2004-02-09
6149167,Luísa Cavalcante,8,8,2061980,2,8008,12381,2024-01-30,2000-11-06
6185668,Luiz Felipe Rios,3,8,8121977,1,8008,12381,2023-10-09,2009-08-24
6229670,Luiz Gustavo Rios,1,8,19121988,1,8008,12051,2023-07-31,2007-09-10
6305343,Luiz Otávio Cavalcante,1,8,1091984,1,8008,12051,2019-11-22,2012-10-22
6357501,Luna Monteiro,2,8,9121977,2,8008,12330,2021-11-23,2002-02-04
6599516,Maria Alice Costa,2,8,7071982,2,8008,12051,2022-12-12,2017-04-10
6684254,Maria Eduarda Lopes,3,8,25041982,2,8008,12392,2024-05-31,2006-09-18
6749919,Maria Helena da Luz,1,8,7021971,2,8008,12381,2022-11-03,2023-10-05
6816524,Maria Júlia da Mota,2,8,23041986,2,8008,12392,2016-02-01,2000-02-28
6904635,Maria Luísa Caldeira,2,8,9061982,2,8008,12051,2024-01-18,2005-05-16
