cd_func;nm_func;dt_ingso;area_cmnto;dt_conc;cd_uor;nm_uor_rdz
236548;Sra. Laura Silva;2021-06-03;Ciências Biológicas;2015-10-14;55825;DIREC-CLI. VAR. PF
236549;Henrique Ramos;2020-06-28;Engenharias;2019-03-03;55825;DIREC-CLI. VAR. PF
236550;Marina Lopes;2015-12-08;Ciências da Saúde;2009-10-08;55825;DIREC-CLI. VAR. PF
236551;Dra. Laura Dias;2019-03-20;Ciências Biológicas;2017-12-07;55825;DIREC-CLI. VAR. PF
236552;Pietra Aragão;2022-11-06;Ciências Sociais Aplicadas;2014-07-01;55825;DIREC-CLI. VAR. PF
236553;Lucas Gabriel Araújo;2015-12-15;Engenharias;2012-03-25;55825;DIREC-CLI. VAR. PF
236554;Vitor da Cunha;2021-05-02;Ciências da Saúde;2010-01-01;55825;DIREC-CLI. VAR. PF
236555;Samuel Barros;2014-12-31;Engenharias;2010-12-28;55825;DIREC-CLI. VAR. PF
236556;Fernanda Teixeira;2023-07-03;Ciências Humanas;2014-03-19;55825;DIREC-CLI. VAR. PF
236557;Vinicius Nogueira;2020-01-23;Ciências Humanas;2010-11-08;55825;DIREC-CLI. VAR. PF
236558;Mariana Cavalcanti;2017-06-26;Ciências da Saúde;2014-04-04;55825;DIREC-CLI. VAR. PF
236559;Maria Eduarda Lima;2016-02-28;Engenharias;2013-05-04;55825;DIREC-CLI. VAR. PF
236560;Bianca da Mata;2014-12-14;Engenharias;2012-01-31;55825;DIREC-CLI. VAR. PF
236561;Sr. Levi Pires;2017-05-12;Ciências Humanas;2013-06-18;55825;DIREC-CLI. VAR. PF
236562;Bernardo Teixeira;2019-08-07;Ciências da Saúde;2017-10-21;55825;DIREC-CLI. VAR. PF
236563;Marcos Vinicius Costela;2023-07-18;Ciências Sociais Aplicadas;2013-08-19;55825;DIREC-CLI. VAR. PF
236564;Laura Ramos;2016-03-31;Ciências Sociais Aplicadas;2010-07-20;55825;DIREC-CLI. VAR. PF
236565;Enzo da Rocha;2016-05-04;Engenharias;2011-05-11;55825;DIREC-CLI. VAR. PF
236566;Isaac Cardoso;2015-08-07;Engenharias;2012-06-13;55825;DIREC-CLI. VAR. PF
236567;Dra. Sophie Dias;2020-07-01;Engenharias;2016-02-07;55825;DIREC-CLI. VAR. PF
236568;Carlos Eduardo Jesus;2022-06-15;Ciências Humanas;2014-08-03;55825;DIREC-CLI. VAR. PF
236569;Thiago Silveira;2018-04-09;Ciências Sociais Aplicadas;2018-02-17;55825;DIREC-CLI. VAR. PF
236570;Samuel Cavalcanti;2019-02-04;Ciências Biológicas;2016-02-24;55825;DIREC-CLI. VAR. PF
236571;Alana Campos;2018-05-14;Engenharias;2017-08-22;55825;DIREC-CLI. VAR. PF
236572;Breno Ferreira;2020-07-15;Ciências Biológicas;2018-09-21;55825;DIREC-CLI. VAR. PF
236573;Cauã Pereira;2020-02-16;Ciências Humanas;2017-08-11;55825;DIREC-CLI. VAR. PF
236574;Srta. Stephany da Costa;2023-09-07;Ciências Agrárias;2010-10-31;55825;DIREC-CLI. VAR. PF
236575;Yuri Monteiro;2020-06-16;Ciências Humanas;2012-03-04;55825;DIREC-CLI. VAR. PF
236576;Dr. Kaique Aragão;2016-08-16;Ciências Humanas;2013-08-02;55825;DIREC-CLI. VAR. PF
236577;Dr. Miguel Carvalho;2017-12-20;Ciências Sociais Aplicadas;2017-06-28;55825;DIREC-CLI. VAR. PF
236578;Ana Sophia Cavalcanti;2019-07-10;Ciências Biológicas;2011-08-23;55825;DIREC-CLI. VAR. PF
236579;Eloah Azevedo;2017-10-28;Ciências Agrárias;2015-09-19;55825;DIREC-CLI. VAR. PF
236580;Luiz Fernando Ramos;2021-07-03;Ciências Sociais Aplicadas;2010-03-09;55825;DIREC-CLI. VAR. PF
236581;Maria Eduarda Ramos;2017-06-05;Ciências da Saúde;2014-07-19;55825;DIREC-CLI. VAR. PF
236582;Bruno Correia;2022-12-10;Ciências Sociais Aplicadas;2019-11-16;55825;DIREC-CLI. VAR. PF
236583;Pietro Moraes;2019-05-10;Ciências Biológicas;2016-12-01;55825;DIREC-CLI. VAR. PF
236584;Dr. João Guilherme Mendes;2018-07-17;Ciências Biológicas;2009-10-03;55825;DIREC-CLI. VAR. PF
236585;Arthur Jesus;2020-02-25;Ciências Sociais Aplicadas;2019-09-18;55825;DIREC-CLI. VAR. PF
236586;Larissa Costela;2023-10-21;Ciências Humanas;2013-04-07;55825;DIREC-CLI. VAR. PF
236587;Rebeca Costa;2018-09-02;Ciências Humanas;2018-01-13;55825;DIREC-CLI. VAR. PF
236588;Cauã Novaes;2016-03-19;Ciências Exatas e da Terra;2011-05-21;55825;DIREC-CLI. VAR. PF
236589;Lucas Gabriel Sales;2014-09-04;Ciências Sociais Aplicadas;2009-12-26;55825;DIREC-CLI. VAR. PF
236590;Rodrigo Novaes;2016-07-14;Ciências Sociais Aplicadas;2010-09-04;55825;DIREC-CLI. VAR. PF
236591;Thiago Barros;2024-06-29;Engenharias;2021-12-16;55825;DIREC-CLI. VAR. PF
236592;Valentina Carvalho;2020-12-01;Ciências da Saúde;2017-07-28;55825;DIREC-CLI. VAR. PF
236593;Joana Nogueira;2023-06-28;Ciências Biológicas;2021-08-11;55825;DIREC-CLI. VAR. PF
236594;Arthur Cavalcanti;2022-02-24;Ciências Biológicas;2014-04-23;55825;DIREC-CLI. VAR. PF
236595;Natália Almeida;2017-03-07;Engenharias;2011-06-17;55825;DIREC-CLI. VAR. PF
236596;Davi Lucas Cunha;2022-09-26;Ciências Humanas;2009-12-28;55825;DIREC-CLI. VAR. PF
236597;Lorenzo da Cunha;2015-09-13;Ciências Exatas e da Terra;2012-05-22;55825;DIREC-CLI. VAR. PF
236598;Gustavo Henrique da Luz;2019-04-29;Ciências Sociais Aplicadas;2013-03-14;55825;DIREC-CLI. VAR. PF
236599;Sra. Ana Laura Duarte;2024-07-30;Engenharias;2021-07-02;55825;DIREC-CLI. VAR. PF
236600;Rafaela Carvalho;2022-02-09;Ciências Biológicas;2016-05-03;55825;DIREC-CLI. VAR. PF
236601;Yuri Nunes;2017-06-21;Ciências Humanas;2015-05-24;55825;DIREC-CLI. VAR. PF
236602;Maria Alice Costela;2020-08-04;Ciências da Saúde;2017-11-08;55825;DIREC-CLI. VAR. PF
236603;Erick Costela;2017-11-16;Ciências Humanas;2015-02-19;55825;DIREC-CLI. VAR. PF
236604;Letícia Azevedo;2022-11-10;Ciências da Saúde;2015-08-07;55825;DIREC-CLI. VAR. PF
236605;Dra. Lorena Lima;2021-02-23;Ciências Humanas;2020-10-09;55825;DIREC-CLI. VAR. PF
236606;Emanuella da Cunha;2017-03-24;Lingüística, Letras e Artes;2016-08-31;55825;DIREC-CLI. VAR. PF
236607;Gabriel da Mata;2015-03-15;Engenharias;2009-10-19;55825;DIREC-CLI. VAR. PF
236608;Sr. Ryan Azevedo;2022-02-01;Ciências da Saúde;2017-06-20;55825;DIREC-CLI. VAR. PF
236609;Bernardo Vieira;2019-05-03;Ciências Biológicas;2017-04-25;55825;DIREC-CLI. VAR. PF
236610;Joana Viana;2016-09-14;Ciências Biológicas;2015-08-20;55825;DIREC-CLI. VAR. PF
