cd_func;nm_func;dt_ingso;area_cmnto;dt_conc;cd_uor;nm_uor_rdz
F236548;Sra. Laura Silva;2021-06-03;Ciências Biológicas;2015-10-14;55825;DIREC-CLI. VAR. PF
F236549;Henrique Ramos;2020-06-28;Engenharias;2019-03-03;55825;DIREC-CLI. VAR. PF
F236550;Marina Lopes;2015-12-08;Ciências da Saúde;2009-10-08;55825;DIREC-CLI. VAR. PF
F236551;Dra. Laura Dias;2019-03-20;Ciências Biológicas;2017-12-07;55825;DIREC-CLI. VAR. PF
F236552;Pietra Aragão;2022-11-06;Ciências Sociais Aplicadas;2014-07-01;55825;DIREC-CLI. VAR. PF
F236553;Lucas Gabriel Araújo;2015-12-15;Engenharias;2012-03-25;55825;DIREC-CLI. VAR. PF
F236554;Vitor da Cunha;2021-05-02;Ciências da Saúde;2010-01-01;55825;DIREC-CLI. VAR. PF
F236555;Samuel Barros;2014-12-31;Engenharias;2010-12-28;55825;DIREC-CLI. VAR. PF
F236556;Fernanda Teixeira;2023-07-03;Ciências Humanas;2014-03-19;55825;DIREC-CLI. VAR. PF
F236557;Vinicius Nogueira;2020-01-23;Ciências Humanas;2010-11-08;55825;DIREC-CLI. VAR. PF
F236558;Mariana Cavalcanti;2017-06-26;Ciências da Saúde;2014-04-04;55825;DIREC-CLI. VAR. PF
F236559;Maria Eduarda Lima;2016-02-28;Engenharias;2013-05-04;55825;DIREC-CLI. VAR. PF
F236560;Bianca da Mata;2014-12-14;Engenharias;2012-01-31;55825;DIREC-CLI. VAR. PF
F236561;Sr. Levi Pires;2017-05-12;Ciências Humanas;2013-06-18;55825;DIREC-CLI. VAR. PF
F236562;Bernardo Teixeira;2019-08-07;Ciências da Saúde;2017-10-21;55825;DIREC-CLI. VAR. PF
F236563;Marcos Vinicius Costela;2023-07-18;Ciências Sociais Aplicadas;2013-08-19;55825;DIREC-CLI. VAR. PF
F236564;Laura Ramos;2016-03-31;Ciências Sociais Aplicadas;2010-07-20;55825;DIREC-CLI. VAR. PF
F236565;Enzo da Rocha;2016-05-04;Engenharias;2011-05-11;55825;DIREC-CLI. VAR. PF
F236566;Isaac Cardoso;2015-08-07;Engenharias;2012-06-13;55825;DIREC-CLI. VAR. PF
F236567;Dra. Sophie Dias;2020-07-01;Engenharias;2016-02-07;55825;DIREC-CLI. VAR. PF
F236568;Carlos Eduardo Jesus;2022-06-15;Ciências Humanas;2014-08-03;55825;DIREC-CLI. VAR. PF
F236569;Thiago Silveira;2018-04-09;Ciências Sociais Aplicadas;2018-02-17;55825;DIREC-CLI. VAR. PF
F236570;Samuel Cavalcanti;2019-02-04;Ciências Biológicas;2016-02-24;55825;DIREC-CLI. VAR. PF
F236571;Alana Campos;2018-05-14;Engenharias;2017-08-22;55825;DIREC-CLI. VAR. PF
F236572;Breno Ferreira;2020-07-15;Ciências Biológicas;2018-09-21;55825;DIREC-CLI. VAR. PF
F236573;Cauã Pereira;2020-02-16;Ciências Humanas;2017-08-11;55825;DIREC-CLI. VAR. PF
F236574;Srta. Stephany da Costa;2023-09-07;Ciências Agrárias;2010-10-31;55825;DIREC-CLI. VAR. PF
F236575;Yuri Monteiro;2020-06-16;Ciências Humanas;2012-03-04;55825;DIREC-CLI. VAR. PF
F236576;Dr. Kaique Aragão;2016-08-16;Ciências Humanas;2013-08-02;55825;DIREC-CLI. VAR. PF
F236577;Dr. Miguel Carvalho;2017-12-20;Ciências Sociais Aplicadas;2017-06-28;55825;DIREC-CLI. VAR. PF
F236578;Ana Sophia Cavalcanti;2019-07-10;Ciências Biológicas;2011-08-23;55825;DIREC-CLI. VAR. PF
F236579;Eloah Azevedo;2017-10-28;Ciências Agrárias;2015-09-19;55825;DIREC-CLI. VAR. PF
F236580;Luiz Fernando Ramos;2021-07-03;Ciências Sociais Aplicadas;2010-03-09;55825;DIREC-CLI. VAR. PF
F236581;Maria Eduarda Ramos;2017-06-05;Ciências da Saúde;2014-07-19;55825;DIREC-CLI. VAR. PF
F236582;Bruno Correia;2022-12-10;Ciências Sociais Aplicadas;2019-11-16;55825;DIREC-CLI. VAR. PF
F236583;Pietro Moraes;2019-05-10;Ciências Biológicas;2016-12-01;55825;DIREC-CLI. VAR. PF
F236584;Dr. João Guilherme Mendes;2018-07-17;Ciências Biológicas;2009-10-03;55825;DIREC-CLI. VAR. PF
F236585;Arthur Jesus;2020-02-25;Ciências Sociais Aplicadas;2019-09-18;55825;DIREC-CLI. VAR. PF
F236586;Larissa Costela;2023-10-21;Ciências Humanas;2013-04-07;55825;DIREC-CLI. VAR. PF
F236587;Rebeca Costa;2018-09-02;Ciências Humanas;2018-01-13;55825;DIREC-CLI. VAR. PF
F236588;Cauã Novaes;2016-03-19;Ciências Exatas e da Terra;2011-05-21;55825;DIREC-CLI. VAR. PF
F236589;Lucas Gabriel Sales;2014-09-04;Ciências Sociais Aplicadas;2009-12-26;55825;DIREC-CLI. VAR. PF
F236590;Rodrigo Novaes;2016-07-14;Ciências Sociais Aplicadas;2010-09-04;55825;DIREC-CLI. VAR. PF
F236591;Thiago Barros;2024-06-29;Engenharias;2021-12-16;55825;DIREC-CLI. VAR. PF
F236592;Valentina Carvalho;2020-12-01;Ciências da Saúde;2017-07-28;55825;DIREC-CLI. VAR. PF
F236593;Joana Nogueira;2023-06-28;Ciências Biológicas;2021-08-11;55825;DIREC-CLI. VAR. PF
F236594;Arthur Cavalcanti;2022-02-24;Ciências Biológicas;2014-04-23;55825;DIREC-CLI. VAR. PF
F236595;Natália Almeida;2017-03-07;Engenharias;2011-06-17;55825;DIREC-CLI. VAR. PF
F236596;Davi Lucas Cunha;2022-09-26;Ciências Humanas;2009-12-28;55825;DIREC-CLI. VAR. PF
F236597;Lorenzo da Cunha;2015-09-13;Ciências Exatas e da Terra;2012-05-22;55825;DIREC-CLI. VAR. PF
F236598;Gustavo Henrique da Luz;2019-04-29;Ciências Sociais Aplicadas;2013-03-14;55825;DIREC-CLI. VAR. PF
F236599;Sra. Ana Laura Duarte;2024-07-30;Engenharias;2021-07-02;55825;DIREC-CLI. VAR. PF
F236600;Rafaela Carvalho;2022-02-09;Ciências Biológicas;2016-05-03;55825;DIREC-CLI. VAR. PF
F236601;Yuri Nunes;2017-06-21;Ciências Humanas;2015-05-24;55825;DIREC-CLI. VAR. PF
F236602;Maria Alice Costela;2020-08-04;Ciências da Saúde;2017-11-08;55825;DIREC-CLI. VAR. PF
F236603;Erick Costela;2017-11-16;Ciências Humanas;2015-02-19;55825;DIREC-CLI. VAR. PF
F236604;Letícia Azevedo;2022-11-10;Ciências da Saúde;2015-08-07;55825;DIREC-CLI. VAR. PF
F236605;Dra. Lorena Lima;2021-02-23;Ciências Humanas;2020-10-09;55825;DIREC-CLI. VAR. PF
F236606;Emanuella da Cunha;2017-03-24;Lingüística, Letras e Artes;2016-08-31;55825;DIREC-CLI. VAR. PF
F236607;Gabriel da Mata;2015-03-15;Engenharias;2009-10-19;55825;DIREC-CLI. VAR. PF
F236608;Sr. Ryan Azevedo;2022-02-01;Ciências da Saúde;2017-06-20;55825;DIREC-CLI. VAR. PF
F236609;Bernardo Vieira;2019-05-03;Ciências Biológicas;2017-04-25;55825;DIREC-CLI. VAR. PF
F236610;Joana Viana;2016-09-14;Ciências Biológicas;2015-08-20;55825;DIREC-CLI. VAR. PF
F236611;Maitê Rodrigues;2019-12-15;Engenharias;2016-02-08;55825;DIREC-CLI. VAR. PF
F236612;Fernanda Costa;2016-05-11;Ciências Sociais Aplicadas;2015-11-08;55825;DIREC-CLI. VAR. PF
F236613;Rafaela Rocha;2021-07-01;Ciências Sociais Aplicadas;2017-06-11;55825;DIREC-CLI. VAR. PF
F236614;Bruna Nogueira;2016-08-17;Ciências da Saúde;2016-04-04;55825;DIREC-CLI. VAR. PF
F236615;Bianca da Rosa;2018-03-01;Ciências Sociais Aplicadas;2015-11-28;55825;DIREC-CLI. VAR. PF
F236616;Ian Nascimento;2018-02-04;Ciências Sociais Aplicadas;2012-10-10;55825;DIREC-CLI. VAR. PF
F236617;Luana Sales;2023-01-29;Ciências Sociais Aplicadas;2017-03-19;55825;DIREC-CLI. VAR. PF
F236618;Rafaela Azevedo;2018-02-02;Ciências Humanas;2012-08-19;55825;DIREC-CLI. VAR. PF
F236619;Sabrina Porto;2019-01-17;Ciências da Saúde;2017-11-23;55825;DIREC-CLI. VAR. PF
F236620;Yasmin Souza;2015-08-25;Ciências Sociais Aplicadas;2010-11-30;55825;DIREC-CLI. VAR. PF
F236621;Dra. Letícia Costa;2024-07-13;Ciências Agrárias;2013-02-10;55825;DIREC-CLI. VAR. PF
F236622;Sra. Camila Melo;2018-11-25;Ciências Humanas;2009-12-22;55825;DIREC-CLI. VAR. PF
F236623;Dr. Emanuel Moraes;2023-08-20;Ciências da Saúde;2011-09-25;55825;DIREC-CLI. VAR. PF
F236624;Raquel Rocha;2015-03-08;Lingüística, Letras e Artes;2014-06-14;55825;DIREC-CLI. VAR. PF
F236625;Sr. Isaac Cavalcanti;2020-09-20;Engenharias;2011-06-09;55825;DIREC-CLI. VAR. PF
F236626;Dr. Miguel Vieira;2024-02-29;Ciências Humanas;2021-04-18;55825;DIREC-CLI. VAR. PF
F236627;Pedro Correia;2023-11-18;Ciências Humanas;2020-10-04;55825;DIREC-CLI. VAR. PF
F236628;Raul da Paz;2022-08-11;Ciências Humanas;2011-07-13;55825;DIREC-CLI. VAR. PF
F236629;Letícia Silva;2023-12-16;Ciências da Saúde;2018-09-29;55825;DIREC-CLI. VAR. PF
F236630;Maysa Mendes;2018-07-23;Ciências Sociais Aplicadas;2016-01-28;55825;DIREC-CLI. VAR. PF
F236631;Sra. Júlia Ribeiro;2016-07-05;Ciências Sociais Aplicadas;2012-07-03;55825;DIREC-CLI. VAR. PF
F236632;Ian da Luz;2024-04-08;Ciências Sociais Aplicadas;2016-03-21;55825;DIREC-CLI. VAR. PF
F236633;Gustavo Henrique Vieira;2018-02-15;Ciências Humanas;2011-05-17;55825;DIREC-CLI. VAR. PF
F236634;Dr. Pedro Miguel da Mata;2018-08-13;Ciências Agrárias;2018-07-28;55825;DIREC-CLI. VAR. PF
F236635;Stella da Costa;2015-02-20;Lingüística, Letras e Artes;2012-02-27;55825;DIREC-CLI. VAR. PF
F236636;Benjamin Moraes;2023-02-15;Ciências Sociais Aplicadas;2017-08-28;55825;DIREC-CLI. VAR. PF
F236637;Letícia Costa;2023-08-21;Ciências Humanas;2020-02-04;55825;DIREC-CLI. VAR. PF
F236638;Davi Lucas Castro;2018-03-09;Ciências Exatas e da Terra;2014-09-24;55825;DIREC-CLI. VAR. PF
F236639;Leonardo Ferreira;2015-07-03;Ciências Humanas;2013-10-03;55825;DIREC-CLI. VAR. PF
F236640;Luiz Felipe Nogueira;2015-06-21;Ciências da Saúde;2015-05-06;55825;DIREC-CLI. VAR. PF
F236641;Olivia Nogueira;2016-11-08;Ciências Sociais Aplicadas;2010-12-09;55825;DIREC-CLI. VAR. PF
F236642;Heloísa Santos;2015-03-24;Ciências da Saúde;2011-04-11;55825;DIREC-CLI. VAR. PF
F236643;Maria Vitória Oliveira;2018-05-02;Ciências Humanas;2012-01-02;55825;DIREC-CLI. VAR. PF
F236644;Dra. Giovanna Gomes;2016-08-26;Engenharias;2014-03-27;55825;DIREC-CLI. VAR. PF
F236645;Leandro Barbosa;2015-01-24;Engenharias;2011-01-30;55825;DIREC-CLI. VAR. PF
F236646;Maria Fernanda Caldeira;2014-10-16;Ciências Biológicas;2011-11-13;55825;DIREC-CLI. VAR. PF
F236647;Cecília Costela;2023-04-19;Engenharias;2015-04-27;55825;DIREC-CLI. VAR. PF
F236648;Anthony Azevedo;2019-09-02;Ciências Humanas;2014-05-06;55825;DIREC-CLI. VAR. PF
F236649;Marcos Vinicius Farias;2023-09-09;Ciências Exatas e da Terra;2010-06-20;55825;DIREC-CLI. VAR. PF
F236650;Valentina da Rosa;2019-10-18;Ciências Agrárias;2018-11-26;55825;DIREC-CLI. VAR. PF
F236651;Isabella Gonçalves;2022-03-19;Ciências da Saúde;2015-12-21;55825;DIREC-CLI. VAR. PF
