matricula,Nome,local de trabalho,Data de Ingresso,Curso,Área de Conhecimento,Data de Conclusão,Instituição
236548,Sra. Laura Silva,8008,2021-06-03,Botânica,Ciências Biológicas,2015-10-14,URI - Universidade Regional Integrada do Alto Uruguai e das Missões
236549,Henrique Ramos,8008,2020-06-28,Engenharia Sanitária,Engenharias,2019-03-03,FAVAP - Faculdades Vale do Piancó
236550,Marina Lopes,8008,2015-12-08,Farmácia,Ciências da Saúde,2009-10-08,UNIVILLE - Universidade da Região de Joinville
236551,Dra. Laura Dias,8008,2019-03-20,Fisiologia,Ciências Biológicas,2017-12-07,CUSC - Centro Universitário São Camilo
236552,Pietra Aragão,8008,2022-11-06,Comunicação,Ciências Sociais Aplicadas,2014-07-01,Unifametro - Centro Universitário Fametro
236553,Lucas Gabriel Araújo,8008,2015-12-15,Engenharia de Produção,Engenharias,2012-03-25,IF Goiano - Instituto Federal Goiano
236554,Vitor da Cunha,8008,2021-05-02,Saúde Coletiva,Ciências da Saúde,2010-01-01,UNC - Universidade do Contestado
236555,Samuel Barros,8008,2014-12-31,Engenharia Sanitária,Engenharias,2010-12-28,UERGS - Universidade Estadual do Rio Grande do Sul
236556,Fernanda Teixeira,8008,2023-07-03,Sociologia,Ciências Humanas,2014-03-19,FDC - Fundação Dom Cabral
236557,Vinicius Nogueira,8008,2020-01-23,Educação,Ciências Humanas,2010-11-08,UEG - Universidade Estadual de Goiás
236558,Mariana Cavalcanti,8008,2017-06-26,Odontologia,Ciências da Saúde,2014-04-04,FADISC - Faculdades Integradas de São Carlos
236559,Maria Eduarda Lima,8008,2016-02-28,Engenharia Mecânica,Engenharias,2013-05-04,UNIPAMPA - Universidade Federal do Pampa
236560,Bianca da Mata,8008,2014-12-14,Engenharia Naval e Oceânica,Engenharias,2012-01-31,UNIMONTES - Universidade Estadual de Montes Claros
236561,Sr. Levi Pires,8008,2017-05-12,Filosofia,Ciências Humanas,2013-06-18,"IPE - Instituto Parecis de Ensino, Desenvolvimento e Pesquisa"
236562,Bernardo Teixeira,8008,2019-08-07,Enfermagem,Ciências da Saúde,2017-10-21,FAVAP - Faculdades Vale do Piancó
236563,Marcos Vinicius Costela,8008,2023-07-18,Serviço Social,Ciências Sociais Aplicadas,2013-08-19,FFB - Faculdade Farias Brito
236564,Laura Ramos,8008,2016-03-31,Economia,Ciências Sociais Aplicadas,2010-07-20,DOCTUM - Rede de Ensino Doctum
236565,Enzo da Rocha,8008,2016-05-04,Engenharia Nuclear,Engenharias,2011-05-11,FAACS - Faculdade Anglo-Americano de Caxias do Sul
236566,Isaac Cardoso,8008,2015-08-07,Engenharia Sanitária,Engenharias,2012-06-13,UNICEP - Centro Universitário Central Paulista
236567,Dra. Sophie Dias,8008,2020-07-01,Engenharia Aeroespacial,Engenharias,2016-02-07,FACEG - Faculdade Evangelica de Goianesia
236568,Carlos Eduardo Jesus,8008,2022-06-15,Arqueologia,Ciências Humanas,2014-08-03,UNIMONTE - Centro Universitário Monte Serrat
236569,Thiago Silveira,8008,2018-04-09,Economia,Ciências Sociais Aplicadas,2018-02-17,FASM - Faculdade Santa Marcelina
236570,Samuel Cavalcanti,8008,2019-02-04,Ecologia,Ciências Biológicas,2016-02-24,UFT - Universidade Federal do Tocantins
236571,Alana Campos,8008,2018-05-14,Engenharia Aeroespacial,Engenharias,2017-08-22,INTEGRADO - Centro Universitário Integrado de Campo Mourão
236572,Breno Ferreira,8008,2020-07-15,Imunologia,Ciências Biológicas,2018-09-21,FABEL - Faculdade de Belém
236573,Cauã Pereira,8008,2020-02-16,Educação,Ciências Humanas,2017-08-11,UFMS - Universidade Federal do Mato Grosso do Sul
236574,Srta. Stephany da Costa,8008,2023-09-07,Zootecnia,Ciências Agrárias,2010-10-31,Uniuv - Centro Universitário de União da Vitória
236575,Yuri Monteiro,8008,2020-06-16,Geografia,Ciências Humanas,2012-03-04,FCRS - Faculdade Católica Rainha do Sertão
236576,Dr. Kaique Aragão,8008,2016-08-16,História,Ciências Humanas,2013-08-02,UCP - Faculdades do Centro do Paraná
236577,Dr. Miguel Carvalho,8008,2017-12-20,Museologia,Ciências Sociais Aplicadas,2017-06-28,UNAERP - Universidade de Ribeirão Preto
236578,Ana Sophia Cavalcanti,8008,2019-07-10,Zoologia,Ciências Biológicas,2011-08-23,UNIRITTER - Centro Universitário Ritter dos Reis
236579,Eloah Azevedo,8008,2017-10-28,Agronomia,Ciências Agrárias,2015-09-19,UNINCOR-Universidade Vale do Rio Verde
236580,Luiz Fernando Ramos,8008,2021-07-03,Museologia,Ciências Sociais Aplicadas,2010-03-09,UNIAVAN - Centro Universitário Avantis
236581,Maria Eduarda Ramos,8008,2017-06-05,Odontologia,Ciências da Saúde,2014-07-19,IFES - Instituto Federal do Espírito Santo
236582,Bruno Correia,8008,2022-12-10,Turismo,Ciências Sociais Aplicadas,2019-11-16,UCP - Faculdades do Centro do Paraná
236583,Pietro Moraes,8008,2019-05-10,Fisiologia,Ciências Biológicas,2016-12-01,UNINTER - Grupo Educacional Uninter
236584,Dr. João Guilherme Mendes,8008,2018-07-17,Botânica,Ciências Biológicas,2009-10-03,UNINILTONLINS - Universidade Nilton Lins
236585,Arthur Jesus,8008,2020-02-25,Desenho Industrial,Ciências Sociais Aplicadas,2019-09-18,UNIFOA - Centro Universitário de Volta Redonda
236586,Larissa Costela,8008,2023-10-21,Filosofia,Ciências Humanas,2013-04-07,UFPI - Universidade Federal do Piauí
236587,Rebeca Costa,8008,2018-09-02,Arqueologia,Ciências Humanas,2018-01-13,CESMAC - Centro de Estudos Superiores de Maceió
236588,Cauã Novaes,8008,2016-03-19,Física,Ciências Exatas e da Terra,2011-05-21,IFMT - Instituto Federal do Mato Grosso
236589,Lucas Gabriel Sales,8008,2014-09-04,Demografia,Ciências Sociais Aplicadas,2009-12-26,DOCTUM - Rede de Ensino Doctum
236590,Rodrigo Novaes,8008,2016-07-14,Economia,Ciências Sociais Aplicadas,2010-09-04,UFAL - Universidade Federal de Alagoas
236591,Thiago Barros,8008,2024-06-29,Engenharia Sanitária,Engenharias,2021-12-16,UNIFOA - Centro Universitário de Volta Redonda
236592,Valentina Carvalho,8008,2020-12-01,Odontologia,Ciências da Saúde,2017-07-28,FADERGS - Faculdade de Desenvolvimento do Rio Grande do Sul
236593,Joana Nogueira,8008,2023-06-28,Zoologia,Ciências Biológicas,2021-08-11,IFC - Instituto Federal Catarinense
236594,Arthur Cavalcanti,8008,2022-02-24,Parasitologia,Ciências Biológicas,2014-04-23,UNIFOR - Universidade de Fortaleza
236595,Natália Almeida,8008,2017-03-07,Engenharia Aeroespacial,Engenharias,2011-06-17,UNIUBE - Universidade de Uberaba
236596,Davi Lucas Cunha,8008,2022-09-26,Sociologia,Ciências Humanas,2009-12-28,FCF - Faculdade Católica de Fortaleza
236597,Lorenzo da Cunha,8008,2015-09-13,GeoCiências,Ciências Exatas e da Terra,2012-05-22,UFPA - Universidade Federal do Pará
236598,Gustavo Henrique da Luz,8008,2019-04-29,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2013-03-14,FURB - Fundação Universidade Regional de Blumenau
236599,Sra. Ana Laura Duarte,8008,2024-07-30,Engenharia Elétrica,Engenharias,2021-07-02,UNG - Universidade Guarulhos
236600,Rafaela Carvalho,8008,2022-02-09,Fisiologia,Ciências Biológicas,2016-05-03,UCB - Universidade Castelo Branco
236601,Yuri Nunes,8008,2017-06-21,Antropologia,Ciências Humanas,2015-05-24,UFC - Universidade Federal do Ceará
236602,Maria Alice Costela,8008,2020-08-04,Saúde Coletiva,Ciências da Saúde,2017-11-08,FFB - Faculdade Farias Brito
236603,Erick Costela,8008,2017-11-16,Filosofia,Ciências Humanas,2015-02-19,UNOESTE - Universidade do Oeste Paulista
236604,Letícia Azevedo,8008,2022-11-10,Saúde Coletiva,Ciências da Saúde,2015-08-07,IPTAN - Instituto de Ensino Superior Presidente Tancredo Neves
236605,Dra. Lorena Lima,8008,2021-02-23,Arqueologia,Ciências Humanas,2020-10-09,UNESC - Universidade do Extremo Sul Catarinense
236606,Emanuella da Cunha,8008,2017-03-24,Lingüística,"Lingüística, Letras e Artes",2016-08-31,UAM - Universidade Anhembi Morumbi
236607,Gabriel da Mata,8008,2015-03-15,Engenharia Elétrica,Engenharias,2009-10-19,UNESA - Universidade Estácio de Sá
236608,Sr. Ryan Azevedo,8008,2022-02-01,Fisioterapia e Terapia Ocupacional,Ciências da Saúde,2017-06-20,UFVJM - Universidade Federal dos Vales do Jequitinhonha e Mucuri
236609,Bernardo Vieira,8008,2019-05-03,Genética,Ciências Biológicas,2017-04-25,UCAM - Universidade Cândido Mendes
236610,Joana Viana,8008,2016-09-14,Biofísica,Ciências Biológicas,2015-08-20,UNIFESP - Universidade Federal de São Paulo
236611,Maitê Rodrigues,8008,2019-12-15,Engenharia Civil,Engenharias,2016-02-08,UFMA - Universidade Federal do Maranhão
236612,Fernanda Costa,8008,2016-05-11,Arquitetura e Urbanismo,Ciências Sociais Aplicadas,2015-11-08,FADIPA - Faculdade de Direito de Ipatinga
236613,Rafaela Rocha,8008,2021-07-01,Demografia,Ciências Sociais Aplicadas,2017-06-11,UFFS - Universidade Federal da Fronteira Sul
236614,Bruna Nogueira,8008,2016-08-17,Fisioterapia e Terapia Ocupacional,Ciências da Saúde,2016-04-04,ULBRA - Universidade Luterana do Brasil (Polo Natal)
236615,Bianca da Rosa,8008,2018-03-01,Administração,Ciências Sociais Aplicadas,2015-11-28,USCS - Universidade Municipal de São Caetano do Sul
236616,Ian Nascimento,8008,2018-02-04,Desenho Industrial,Ciências Sociais Aplicadas,2012-10-10,FSLF - Faculdade São Luis de França
236617,Luana Sales,8008,2023-01-29,Direito,Ciências Sociais Aplicadas,2017-03-19,ENAP - Escola Nacional de Administração Pública
236618,Rafaela Azevedo,8008,2018-02-02,Psicologia,Ciências Humanas,2012-08-19,UNESA - Universidade Estácio de Sá
236619,Sabrina Porto,8008,2019-01-17,Enfermagem,Ciências da Saúde,2017-11-23,UEMG - Universidade do Estado de Minas Gerais
236620,Yasmin Souza,8008,2015-08-25,Ciência da Informação,Ciências Sociais Aplicadas,2010-11-30,ULBRA - Universidade Luterana do Brasil
236621,Dra. Letícia Costa,8008,2024-07-13,Recursos Florestais e Engenharia Florestal,Ciências Agrárias,2013-02-10,IFSULDEMINAS - Instituto Federal do Sul de Minas
236622,Sra. Camila Melo,8008,2018-11-25,Educação,Ciências Humanas,2009-12-22,UERR - Universidade Estadual de Roraima
236623,Dr. Emanuel Moraes,8008,2023-08-20,Medicina,Ciências da Saúde,2011-09-25,CIABA - Centro de Instrução Almirante Braz de Aguiar
236624,Raquel Rocha,8008,2015-03-08,Artes,"Lingüística, Letras e Artes",2014-06-14,UNILESTE - Centro Universitário Católica do Leste de Minas Gerais
236625,Sr. Isaac Cavalcanti,8008,2020-09-20,Engenharia Mecânica,Engenharias,2011-06-09,IAESUP - Faculdades e Colégio Aphonsiano
236626,Dr. Miguel Vieira,8008,2024-02-29,Antropologia,Ciências Humanas,2021-04-18,FMC - Faculdades Milton Campos
236627,Pedro Correia,8008,2023-11-18,Ciência Política,Ciências Humanas,2020-10-04,Fametro - Faculdade Metropolitana de Manaus
236628,Raul da Paz,8008,2022-08-11,Psicologia,Ciências Humanas,2011-07-13,UNIFASC - Faculdade Santa Rita de Cássia
236629,Letícia Silva,8008,2023-12-16,Nutrição,Ciências da Saúde,2018-09-29,UNIBAN - Universidade Bandeirante de São Paulo
236630,Maysa Mendes,8008,2018-07-23,Economia,Ciências Sociais Aplicadas,2016-01-28,UFC - Universidade Federal do Ceará
236631,Sra. Júlia Ribeiro,8008,2016-07-05,Serviço Social,Ciências Sociais Aplicadas,2012-07-03,FURB - Fundação Universidade Regional de Blumenau
236632,Ian da Luz,8008,2024-04-08,Serviço Social,Ciências Sociais Aplicadas,2016-03-21,UNISC - Universidade de Santa Cruz do Sul
236633,Gustavo Henrique Vieira,8008,2018-02-15,Teologia,Ciências Humanas,2011-05-17,CBPF - Centro Brasileiro de Pesquisas Físicas
236634,Dr. Pedro Miguel da Mata,8008,2018-08-13,Recursos Florestais e Engenharia Florestal,Ciências Agrárias,2018-07-28,UFAC - Universidade Federal do Acre
236635,Stella da Costa,8008,2015-02-20,Lingüística,"Lingüística, Letras e Artes",2012-02-27,UFOP - Universidade Federal de Ouro Preto
236636,Benjamin Moraes,8008,2023-02-15,Museologia,Ciências Sociais Aplicadas,2017-08-28,Uniuv - Centro Universitário de União da Vitória
236637,Letícia Costa,8008,2023-08-21,Arqueologia,Ciências Humanas,2020-02-04,FURG - Universidade Federal do Rio Grande
236638,Davi Lucas Castro,8008,2018-03-09,Química,Ciências Exatas e da Terra,2014-09-24,UFDPar - Universidade Federal do Delta do Parnaíba
236639,Leonardo Ferreira,8008,2015-07-03,História,Ciências Humanas,2013-10-03,FSG - Faculdade da Serra Gaúcha
236640,Luiz Felipe Nogueira,8008,2015-06-21,Fisioterapia e Terapia Ocupacional,Ciências da Saúde,2015-05-06,UCP - Faculdades do Centro do Paraná
236641,Olivia Nogueira,8008,2016-11-08,Turismo,Ciências Sociais Aplicadas,2010-12-09,FAACS - Faculdade Anglo-Americano de Caxias do Sul
236642,Heloísa Santos,8008,2015-03-24,Enfermagem,Ciências da Saúde,2011-04-11,EN - Escola Naval
236643,Maria Vitória Oliveira,8008,2018-05-02,Teologia,Ciências Humanas,2012-01-02,UEAP - Universidade Estadual do Amapá
236644,Dra. Giovanna Gomes,8008,2016-08-26,Engenharia de Minas,Engenharias,2014-03-27,UFPI - Universidade Federal do Piauí
236645,Leandro Barbosa,8008,2015-01-24,Engenharia Biomédica,Engenharias,2011-01-30,FA - Faculdade Atlântico
236646,Maria Fernanda Caldeira,8008,2014-10-16,Genética,Ciências Biológicas,2011-11-13,UESPI - Universidade Estadual do Piauí
236647,Cecília Costela,8008,2023-04-19,Engenharia Química,Engenharias,2015-04-27,UBC - Universidade Braz Cubas
236648,Anthony Azevedo,8008,2019-09-02,Geografia,Ciências Humanas,2014-05-06,UFF - Universidade Federal Fluminense
236649,Marcos Vinicius Farias,8008,2023-09-09,Matemática,Ciências Exatas e da Terra,2010-06-20,UNINTER - Grupo Educacional Uninter
236650,Valentina da Rosa,8008,2019-10-18,Ciência e Tecnologia de Alimentos,Ciências Agrárias,2018-11-26,FTSA - Faculdade Teológica Sul Americana
236651,Isabella Gonçalves,8008,2022-03-19,Farmácia,Ciências da Saúde,2015-12-21,FACSFX - Faculdade São Francisco Xavier
236652,Mariane Lopes,8008,2014-11-26,Bioquímica,Ciências Biológicas,2014-06-02,UNIAVAN - Centro Universitário Avantis
236653,Kaique Jesus,8008,2021-11-03,Engenharia de Materiais e Metalúrgica,Engenharias,2018-01-04,DOCTUM - Rede de Ensino Doctum
236654,Maria Cecília Ramos,8008,2021-09-04,Astronomia,Ciências Exatas e da Terra,2011-11-07,Cesusc -C omplexo de Ensino Superior de Santa Catarina
236655,Cecília da Cunha,8008,2019-03-02,Parasitologia,Ciências Biológicas,2012-05-11,UFV - Universidade Federal de Viçosa
236656,Levi Melo,8008,2021-12-27,Probabilidade e Estatística,Ciências Exatas e da Terra,2017-01-26,CESCAGE - Centro de Ensino Superior dos Campos Gerais
236657,Sra. Gabriela Teixeira,8008,2018-01-01,Educação Física,Ciências da Saúde,2014-11-30,UFOP - Universidade Federal de Ouro Preto
236658,Nicolas Mendes,8150,2016-03-10,Engenharia Mecânica,Engenharias,2013-04-24,IFCE - Instituto Federal do Ceará
236659,Helena Freitas,8150,2017-10-22,Engenharia de Minas,Engenharias,2015-09-23,UEPA - Universidade do Estado do Pará
236660,Maysa Sales,8150,2023-03-18,Antropologia,Ciências Humanas,2016-04-01,UESPI - Universidade Estadual do Piauí
236661,Sabrina Cunha,8150,2019-05-04,Medicina Veterinária,Ciências Agrárias,2016-12-05,"IPE - Instituto Parecis de Ensino, Desenvolvimento e Pesquisa"
236662,Camila da Rocha,8150,2023-12-26,Filosofia,Ciências Humanas,2018-03-21,CUSC - Centro Universitário São Camilo
236663,Carlos Eduardo Barros,8150,2015-11-10,Lingüística,"Lingüística, Letras e Artes",2011-02-26,UFU - Universidade Federal de Uberlândia
236664,Luiz Gustavo Viana,8150,2015-01-14,Ciência da Informação,Ciências Sociais Aplicadas,2011-09-14,UNIEURO - Centro Universitário Euroamericano
236665,Lorenzo Novaes,8150,2016-06-09,Química,Ciências Exatas e da Terra,2015-10-19,UFPI - Universidade Federal do Piauí
236666,Erick Martins,8150,2021-10-29,Engenharia Biomédica,Engenharias,2021-02-02,IFFarroupilha - Instituto Federal Farroupilha
236667,Lucas Gabriel Silva,8150,2019-09-30,Recursos Florestais e Engenharia Florestal,Ciências Agrárias,2015-03-24,UniCesumar - Centro Universitário de Maringá
236668,Isaac Rezende,8150,2019-06-12,Letras,"Lingüística, Letras e Artes",2010-05-01,UNOESC - Universidade do Oeste de Santa Catarina
236669,Mariane Correia,8150,2022-07-05,Engenharia de Transportes,Engenharias,2011-07-27,ISERJ - Instituto Superior de Educação do Rio de Janeiro
236670,Sophie Santos,8150,2019-06-30,Letras,"Lingüística, Letras e Artes",2012-12-12,UFTM - Universidade Federal do Triângulo Mineiro
236671,Giovanna da Mata,8150,2020-09-12,Teologia,Ciências Humanas,2015-07-16,UNIPAMPA - Universidade Federal do Pampa
